"variable_name","variable_type","function_or_class","description"
"year","function_argument","record.__init__","Year of the contribution history entry"
"earn","function_argument","record.__init__","Pensionable earnings for the year"
"contrib","function_argument","record.__init__","Base plan contribution"
"contrib_s1","function_argument","record.__init__","First tier of the supplementary plan contribution related to the replacement rate increase"
"contrib_s2","function_argument","record.__init__","Second tier of the supplementary plan contribution related to the higher earnings ceiling"
"contrib_aut","function_argument","record.__init__","Base plan contribution on self-employment income"
"contrib_aut_s1","function_argument","record.__init__","First tier of the supplementary plan contribution on self-employment income"
"contrib_aut_s2","function_argument","record.__init__","Second tier of the supplementary plan contribution on self-employment income"
"kids","function_argument","record.__init__","Indicator for children under age 7 for the child-rearing exclusion"
"disab","function_argument","record.__init__","Indicator for disability pension status"
"self.year","class_attribute","record","Year of the contribution history entry"
"self.earn","class_attribute","record","Pensionable earnings stored in the record"
"self.contrib","class_attribute","record","Stored base plan contribution"
"self.contrib_s1","class_attribute","record","Stored first tier of the supplementary plan contribution"
"self.contrib_s2","class_attribute","record","Stored second tier of the supplementary plan contribution"
"self.contrib_aut","class_attribute","record","Stored base plan contribution on self-employment income"
"self.contrib_aut_s1","class_attribute","record","Stored first tier of the supplementary plan contribution on self-employment income"
"self.contrib_aut_s2","class_attribute","record","Stored second tier of the supplementary plan contribution on self-employment income"
"self.kids","class_attribute","record","Stored child-rearing exclusion indicator"
"self.disab","class_attribute","record","Stored disability status indicator"
"qpp","function_argument","rules.__init__","True loads QPP parameters and False loads CPP parameters"
"bnames","intermediate","rules.__init__","Vector of age parameter names: byear is birth year, era is early retirement age, nra is normal retirement age, and lra is latest retirement age"
"ynames","intermediate","rules.__init__","Column names used when loading annual QPP or CPP parameter files"
"params","intermediate","rules.__init__","Path to the params directory containing history spreadsheets"
"self.qpp","class_attribute","rules","Flag identifying whether rules are QPP or CPP rules"
"self.start","class_attribute","rules","First modeled year for the base plan"
"self.start_s1","class_attribute","rules","First modeled year for first tier of the supplementary plan"
"self.start_s2","class_attribute","rules","First modeled year for second tier of the supplementary plan"
"self.yrspars","class_attribute","rules","Annual parameter table indexed by year"
"self.stop","class_attribute","rules","Last year available in the loaded parameter table"
"self.cpi","class_attribute","rules","Annual benefit indexation rate used after the parameter file period"
"self.wgr","class_attribute","rules","Annual YMPE growth rate used after the parameter file period"
"self.lastyear","class_attribute","rules","Last year before projected CPI and wage growth values are used for selected parameters"
"self.indexation","class_attribute","rules","Precomputed benefit indexation matrix from 1966 to 2100"
"ones_lower","intermediate","rules.__init__","Lower triangular matrix used when building the indexation table"
"year","function_argument","rules.ympe","Year for which the parameter is requested"
"value","output","rules.ympe","Base YMPE amount for the requested year"
"year","function_argument","rules.ympe_s2","Year for which the parameter is requested"
"value","output","rules.ympe_s2","YMPE amount for the supplementary plan ceiling"
"year","function_argument","rules.exempt","Year for which the parameter is requested"
"value","output","rules.exempt","Exemption amount applied to contributory earnings"
"year","function_argument","rules.worktax","Year for which the parameter is requested"
"value","output","rules.worktax","Employee contribution rate for the base plan"
"year","function_argument","rules.worktax_s1","Year for which the parameter is requested"
"value","output","rules.worktax_s1","Employee contribution rate for first tier of the supplementary plan"
"year","function_argument","rules.worktax_s2","Year for which the parameter is requested"
"value","output","rules.worktax_s2","Employee contribution rate for second tier of the supplementary plan"
"year","function_argument","rules.empltax","Year for which the parameter is requested"
"value","output","rules.empltax","Employer contribution rate for the base plan"
"year","function_argument","rules.empltax_s1","Year for which the parameter is requested"
"value","output","rules.empltax_s1","Employer contribution rate for first tier of the supplementary plan"
"year","function_argument","rules.empltax_s2","Year for which the parameter is requested"
"value","output","rules.empltax_s2","Employer contribution rate for second tier of the supplementary plan"
"year","function_argument","rules.selftax","Year for which the parameter is requested"
"value","output","rules.selftax","Self-employment contribution rate for the base plan"
"year","function_argument","rules.selftax_s1","Year for which the parameter is requested"
"value","output","rules.selftax_s1","Self-employment contribution rate for first tier of the supplementary plan"
"year","function_argument","rules.selftax_s2","Year for which the parameter is requested"
"value","output","rules.selftax_s2","Self-employment contribution rate for second tier of the supplementary plan"
"year","function_argument","rules.ca","Year for which the parameter is requested"
"value","output","rules.ca","QPP income adjustment factor for early pension reduction"
"year","function_argument","rules.arf","Year for which the parameter is requested"
"value","output","rules.arf","Benefit reduction rate for claiming before age 65"
