variable_name;description;cpp_source;qpp_source
year;Parameter year;;Retraite Qu?bec, Qu?bec Pension Plan Figures, basic information for 2026 - https://www.rrq.gouv.qc.ca/en/programmes/regime_rentes/regime_chiffres/Pages/regime_chiffres.aspx
ympe;Base YMPE amount for a given year;https://www.canada.ca/en/employment-social-development/programs/pensions/reports/annual-2022.html;https://www.rrq.gouv.qc.ca/en/programmes/regime_rentes/regime_chiffres/Pages/regime_chiffres.aspx
exempt;Exemption amount on contributory earnings;https://www.canada.ca/en/employment-social-development/programs/pensions/reports/annual-2022.html;https://www.revenuquebec.ca/en/businesses/source-deductions-and-employer-contributions/calculating-source-deductions-and-contributions/qpp-contributions/maximum-pensionable-earnings-and-contribution-rate/
worker;Employee contribution rate for the base plan;https://www.osfi-bsif.gc.ca/en/oca/actuarial-reports/actuarial-report-32nd-canada-pension-plan;https://www.rrq.gouv.qc.ca/en/programmes/regime_rentes/Pages/regime-supplementaire.aspx
employer;Employer contribution rate for the base plan;https://www.osfi-bsif.gc.ca/en/oca/actuarial-reports/actuarial-report-32nd-canada-pension-plan;https://www.rrq.gouv.qc.ca/en/programmes/regime_rentes/Pages/regime-supplementaire.aspx
selfemp;Self-employment contribution rate for the base plan;https://www.osfi-bsif.gc.ca/en/oca/actuarial-reports/actuarial-report-32nd-canada-pension-plan;https://www.rrq.gouv.qc.ca/en/programmes/regime_rentes/Pages/regime-supplementaire.aspx
ca;QPP income adjustment factor for early pension reduction before age 65;;L?gis Qu?bec, Act respecting the Qu?bec Pension Plan - https://www.legisquebec.gouv.qc.ca/fr/document/lc/r-9?langcont=en
arf;Benefit reduction rate for starting benefits before age 65;https://www.canada.ca/en/employment-social-development/programs/pensions/reports/annual-2019.html;L?gis Qu?bec, Act respecting the Qu?bec Pension Plan - https://www.legisquebec.gouv.qc.ca/fr/document/lc/r-9?langcont=en
drc;Benefit increase rate for starting benefits after age 65;https://www.canada.ca/en/employment-social-development/programs/pensions/reports/annual-2019.html;https://www.quebec.ca/en/employment/plan-manage-career/plan-retirement/quebec-pension-plan
nympe;Number of years used to calculate the average YMPE;https://www.osfi-bsif.gc.ca/en/oca/actuarial-reports/actuarial-report-32nd-canada-pension-plan;https://www.rrq.gouv.qc.ca/en/programmes/regime_rentes/regime_chiffres/Pages/regime_chiffres_archives.aspx
reprate;Replacement rate for the base plan;https://www.canada.ca/en/employment-social-development/programs/pensions/reports/annual-2024.html;L?gis Qu?bec, Act respecting the Qu?bec Pension Plan - https://www.legisquebec.gouv.qc.ca/fr/document/lc/r-9?langcont=en
droprate;Proportion of years excluded from the retirement pension calculation;https://www.canada.ca/en/employment-social-development/programs/pensions/reports/annual-2024.html;https://www.rrq.gouv.qc.ca/en/retraite/rrq/calcul_rente/
era;Minimum age to start receiving the retirement pension;https://www.canada.ca/en/employment-social-development/programs/pensions/reports/annual-2019.html;https://www.quebec.ca/en/employment/plan-manage-career/plan-retirement/quebec-pension-plan
nra;Normal retirement age;https://www.canada.ca/en/employment-social-development/programs/pensions/reports/annual-2019.html;https://www.quebec.ca/en/employment/plan-manage-career/plan-retirement/quebec-pension-plan
lra;Latest retirement age;https://www.canada.ca/en/employment-social-development/programs/pensions/reports/annual-2019.html;https://www.rrq.gouv.qc.ca/en/programmes/regime_rentes/regime_chiffres/Pages/regime_chiffres_archives.aspx
